"","X","MC.._past","Symbol_past","Price_past","BTC_past","X1h_past","X24h_past","X7d_past","X14d_past","X30d_past","X45d_past","X90d_past","X200d_past","Mkt..Cap_past","MCAP.BTC_past","X24h.Vol_past","X24h.Vol.BTC_past","Circ..Supply_past","Total.Supply_past","Max..Supply_past","Team_past","Advisors_past","Brand.Buzz_past","Product_past","Coin_past","Social_past","Communication_past","Business_past","GitHub_past","Age..mo._past","Winning.months_past","Start.price_past","CMGR....3mo_past","Cum..ROI_past","Avg..volume_past","ATH_past","X..fm..ATH_past","ATH..BTC._past","X..fm..ATH..BTC._past","Name","Mkt.BTC_c","growth8mth","BTCprice_change","BTCmcap_change","success"
"293",293,150,"CVC",0.0813,1.02639851532023e-05,-0.29,-0.05,20.27,"56.35","42.39","36.19","-41.14","-58.16",27850000,27850000,5970000,5970000,342700000,"1,000,000,000",NA,79.15,76,50,70,89,83,95,100,50,"19","19",0.1612,"- 31.26","- 71.19",428939,1.37,-94.05,2e-04,-94.39,"Civic",3516.01459430115,-6.68410780407475e-06,-65.1219551110648,-31.7678562012795,0
"294",294,1684,"CIV",0.0053,6.6911588329609e-07,-0.12,-21.54,-30.91,"-53.31","-52.78","-71.01","-94.96","-94.96",1,1,2,2,1,"6,432,137",NA,47.2,NA,NA,0,98,38,20,70,30,"4","4",0.0587,"- 45.37","- 82.83",60,0.1281,-95.87,1.979e-05,-96.61,"Civitas",0.000126248279867187,2.42988241893372e-06,363.148219851549,17886304.9482454,1
"295",295,1739,"CKUSD",0.8474,0.000106982792359454,-1.3,-4.41,2.54,"-11.94","-16.06","-19.94","-14.92","-14.77",1,1,408300000,408300000,1,NA,NA,26.25,NA,NA,0,30,51,0,30,0,"10","10",1,"- 1.00","- 4.34",153225431,1.14,-25.51,3e-04,-65.43,"CK USD",0.000126248279867187,-9.2476274444706e-05,-86.4403259675562,5.80541229367272,0
"296",296,93,"CLAM",16.27,0.00205405951343913,-0.1,-2.4,45.9,"823.62","584.55","605.23","855.87","855.87",58470000,58470000,313450,313450,3593000,"17,225,785",NA,49.2,NA,NA,30,83,51,5,0,30,"53","53",0.572,"- 6.94","147.96",8732,16.27,0,0.0136,-84.94,"Clams",7381.73692383441,-0.00195673493744755,-95.261842446394,-94.8608282723785,0
"297",297,990,"POLL",0.0624,7.87789266371246e-06,5.08,-17.07,-16.79,"-19.36","-33.06","-31.08","-83.52","-90.46",436750,436750,4060,4060,7e+06,"8,999,992",NA,50.85,34,100,30,53,59,55,100,0,"15","15",0.4358,"- 35.04","- 77.00",5199,10.47,-99.4,7e-04,-98.91,"ClearPoll",55.1389362319938,-5.62043269355367e-06,-71.344367503797,-71.3241290138476,0
"298",298,91,"CCCX",0.0156,1.96947316592811e-06,12.38,21.79,350.96,"485.45","407.94","3,987","1","172.3",58840000,58840000,88990,88990,3.776e+09,"5,000,000,000",NA,61.25,42,75,30,75,70,0,100,70,"7","7",0.01,"39.81","- 80.47",24574,0.0156,0,1.97e-06,0,"Clipper Coin",7428.44878738527,1.23638714672341e-06,62.7775573748818,27.1319280958986,1
"299",299,511,"CLOAK",0.7269,9.17698746354581e-05,1.95,-3.48,17.22,"-40.26","-40.12","-49.23","-74.66","-74.66",3850000,3850000,99250,99250,5291000,"5,291,260",NA,67.45,32,0,60,90,70,95,100,50,"56","56",0.1797,"- 25.49","534.33",302353,31.21,-97.67,0.0053,-98.25,"CloakCoin",486.055877488669,-3.41445355155469e-05,-37.2066929928595,-36.2419333710854,0
"300",300,638,"COB",0.0052,6.56491055309371e-07,-5.83,-14.49,-25.75,"-52.28","-60.18","-59.95","-80.3","-90.01",2140000,2140000,26790,26790,4.11e+08,"1,000,000,000",NA,51.1,32,25,70,69,40,45,100,30,"16","16",0.0404,"- 30.07","- 78.29",13581,1.42,-99.63,9.903e-05,-99.33,"COBINHOOD",270.17131891578,-6.16417801401227e-07,-93.895841598442,-93.9151999574849,0
"301",301,911,"LION",0.0209,2.6385890492242e-06,-0.18,-1.87,70.08,"87.20","28.17","16.53","-50.66","-50.66",674510,674510,1240,1240,32226000,"159,698,831",NA,49.1,51,50,35,63,59,5,100,0,"3","3",0.0421,"- 41.30","- 76.55",498,0.0381,-45.04,7.11e-06,-62.88,"Coin Lion",85.1557272532162,-1.39631817807174e-06,-52.9191227592746,-52.9694463923604,0
"302",302,1430,"C2",4e-04,5.04993119468747e-08,0,0,0,"11.50","25.02","25.02","-63.98","-78.13",32590,32590,1,1,78246000,"133,273,764",NA,11.35,NA,NA,10,8,20,0,0,5,"56","56",0.0023,"- 31.67","- 83.65",0.0667,0.0183,-97.72,5.52e-06,-99.09,"Coin2.1",4.11443144087162,2.93169326398406e-09,5.80541229367293,-8.80411072938723,0
"303",303,1610,"CET",0.0286,3.61070080420154e-06,0.31,-0.82,19.66,"251.18","533.09","400.09","214.23","214.23",1,1,3080000,3080000,1,"5,887,885,470",NA,45.9,0,0,30,61,57,90,100,0,"3","3",0.021,"- 18.41","- 72.32",213323,0.0286,0,3.62e-06,0,"CoinEx Token",0.000126248279867187,-1.56696485488619e-06,-43.3978039128253,5.80541229367272,0
"304",304,804,"COFI",0.0056,7.06990367256246e-07,-2.98,-2.21,25.18,"48.32","44.92","48.98","-50.05","-72.35",1080000,1080000,138050,138050,194107000,"300,000,000",NA,60.6,65,100,60,62,67,0,100,30,"12","12",0.2647,"- 32.27","- 98.77",19023,0.1362,-95.92,1.752e-05,-96.01,"CoinFi",136.348142256562,-4.93266346412811e-07,-69.7698822018078,-69.1332303228079,0
"305",305,900,"CL",0.0091,1.1488593467914e-06,48.83,101.23,163.68,"169.28","90.13","174.84","92.68","-54.95",726530,726530,129,129,79619000,"300,000,000",NA,46.85,66,50,30,88,48,5,100,5,"13","13",0.3471,"- 14.48","- 99.06",2279,0.4158,-97.81,3.659e-05,-96.86,"Coinlancer",91.7231627719072,-9.88566331158824e-07,-86.0476379392959,-85.8592136130433,0
"306",306,1678,"MEET",0.0081,1.02261106692421e-06,0.3,-2.48,5.54,"71.53","47.94","36.06","-59.61","-65.99",1,1,147670,147670,1,"400,000,000",NA,47.35,17,50,10,63,57,5,100,50,"12","12",0.2554,"- 41.20","- 98.39",135298,0.1922,-95.8,2.576e-05,-96.04,"CoinMeet",0.000126248279867187,-6.0852973128755e-08,-5.9507446278461,5.80541229367272,0
"307",307,1561,"CXT",4e-04,5.04993119468747e-08,0.43,247.49,247.49,"57.24","63.77","-24.02","-70.54","-86.99",3430,3430,1,1,8623000,"10,123,200",NA,24.95,NA,NA,10,28,38,0,0,15,"22","22",8e-04,"- 60.23","- 89.08",172,0.1694,-99.77,7.868e-05,-99.94,"Coinonat",0.433031599944451,-1.04260580387306e-08,-20.6459407797453,-29.6687055307365,0
"308",308,584,"CHP",0.0085,1.07311037887109e-06,-1.55,-2.43,-14.32,"344.04","207.39","206.70","-9.3","-67.26",2730000,2730000,634890,634890,322414000,"354,786,435",NA,54.5,86,50,30,78,66,70,100,5,"11","11",0.1022,"- 41.53","- 98.20",8430,0.1388,-93.91,1.675e-05,-93.61,"CoinPoker",344.65780403742,-3.91865062432638e-07,-36.5167526237964,-42.6402893059941,0
"309",309,354,"CNUS",0.0224,2.82796146902498e-06,-0.04,-3.44,1.83,"-9.66","-19.39","-56.91","-56.91","list(NULL)",7610000,7610000,309850,309850,3.4e+08,"2,000,000,000",NA,59.7,47,25,20,76,75,55,100,30,"1","1",0.0519,"- 15.69","- 35.26",231827,0.0679,-67.03,1.897e-05,-85.08,"CoinUs",960.749409789292,-2.70774170730055e-06,-95.7488896846292,-95.5960756446753,0
"310",310,530,"COLX",3e-04,3.7874483960156e-08,-0.05,19.13,4.1,"-11.97","-21.06","11.35","-30.46","-69.13",3560000,3560000,7120,7120,1.1219e+10,"11,259,780,466",NA,69.8,NA,NA,50,98,48,55,100,80,"16","16",2e-04,"- 15.13","66.12",4485,0.0224,-98.58,1.35e-06,-97.03,"ColossusCoinXT",449.443876327185,2.19876994798805e-09,5.80541229367298,-11.1353419218872,0
"311",311,919,"CLN",0.0063,7.95364163163277e-07,-0.2,5.3,38.18,"20.09","-2.70","2.14","-61.5","-81.75",654610,654610,258,258,104576000,"1,540,701,334",NA,56.4,85,75,30,42,67,5,100,50,"9","9",0.0656,"- 30.80","- 91.69",5101,0.0631,-90.08,8.27e-06,-90.44,"Colu Local Network",82.6433864838592,1.47545355829822e-06,185.506668094038,166.691511410702,1
"312",312,1517,"CMT",0.011,1.38873107853905e-06,-0.13,3.53,3.53,"8.49","-16.68","-5.05","-65.33","-83.26",9590,9590,600,600,872830,"872,830",NA,24.85,NA,NA,10,28,38,5,70,5,"31","31",0.0081,"- 44.32","- 19.31",51,0.6944,-98.42,3e-04,-99.48,"Comet",1.21072100392632,-7.2084351340332e-07,-51.9066307756031,-51.8966008758692,0
"313",313,1667,"CDC",2.089e-05,2.63732656642553e-09,-0.23,24.09,-22.76,"28.00","-24.41","-60.24","-66.31","-66.31",1,1,11300,11300,1,"10,000,000,000",NA,55,NA,NA,0,96,41,50,100,55,"4","4",5e-04,"- 39.05","- 98.45",3742,6e-04,-96.5,9e-08,-100,"Commerce Data Connection",0.000126248279867187,2.03655061439434e-09,77.2202669294215,5.80541229367272,1
"314",314,379,"CBT",0.0397,5.01205671072732e-06,-0.05,14.86,32.54,"155.10","179.14","354.21","272.66","134.53",6900000,6900000,6750,6750,173767000,"743,256,686",NA,57.8,48,0,30,88,67,0,100,50,"10","10",0.0369,"6.20","- 53.43",1120,0.1166,-65.94,1.246e-05,-59.78,"CommerceBlock",871.113131083589,-6.97503039950469e-07,-13.9165033479689,-13.3622348609781,0
"315",315,872,"CMM",0.0185,2.33559317754296e-06,12.57,5.14,46.27,"90.72","170.11","1,023","473.19","473.19",796080,796080,2010,2010,42949000,"42,948,908",5.8e+07,46.7,63,0,10,96,30,25,100,40,"6","6",0.006,"23.58","13.62",777,0.0252,-26.48,3.91e-06,-40.18,"Commercium",100.50373063667,-2.08179590279138e-06,-89.133498196866,-88.6403519888199,0
"316",316,1429,"CGEN",7.851e-05,9.91175245237284e-09,0,-3.43,28.73,"117.16","95.30","96.44","21.83","21.83",32940,32940,1,1,419588000,"466,427,494",1e+10,44,NA,NA,50,90,38,5,70,0,"3","3",6.444e-05,"- 18.92","- 45.89",0.0345,1e-04,-40.03,2e-08,-50.24,"CommunityGeneration",4.15861833882513,8.78601728393829e-11,0.886424204615262,0.890953252710056,0
"317",317,1676,"CMS",0.0954,1.20440858993296e-05,2.06,5.67,21.62,"132.36","80.86","52.02","19.69","-55.07",1,1,43080,43080,1,"219,042,298",NA,47.75,63,0,30,48,54,5,100,50,"14","14",3.65,"- 26.64","- 99.09",3991,3.91,-97.56,3e-04,-95.27,"COMSA [ETH]",0.000126248279867187,-3.22797003953792e-06,-26.8012870924275,5.80541229367272,0
"318",318,1695,"CMS",0.0951,1.20062114153695e-05,-0.04,4.84,22.41,"134.98","69.86","52.65","24.2","-55.84",1,1,38700,38700,1,"219,042,298",NA,48.2,71,0,30,48,54,0,100,50,"14","14",3.68,"- 27.07","- 99.22",4364,3.9,-97.56,3e-04,-95.47,"COMSA [XEM]",0.000126248279867187,-3.17673780427505e-06,-26.4591193205914,5.80541229367272,0
"319",319,1566,"CONX",0.0035,4.41868979535154e-07,0,0,0,"-48.84","-41.88","-15.89","-16.4","-64.8",2600,2600,1,1,744266,"1,595,266",NA,29.25,21,0,30,33,33,5,100,0,"22","22",0.0015,"28.18","484.23",33,0.0519,-93.26,1.848e-05,-97.62,"Concoin",0.328245527654686,-2.94933715205292e-07,-66.7468704219885,-44.0452146523846,0
"320",320,1642,"CONI",0.0296,3.73694908406873e-06,-1.21,6.67,0.1,"359.22","222.21","161.84","9.37","-68.35",1,1,863710,863710,1,"1,000,000,000",NA,41.9,0,0,40,60,57,20,100,0,"7","7",0.0947,"- 37.78","- 93.01",6125,0.1489,-80.15,2.336e-05,-84.03,"Coni",0.000126248279867187,-2.08058792253211e-06,-55.6761110661641,5.80541229367272,0
"321",321,1445,"CJT",3e-04,3.7874483960156e-08,0,0,0,"158.01","9.17","86.23","-82.11","-95.24",29870,29870,1,1,112840000,"166,298,157",NA,53.95,67,75,20,61,47,0,100,80,"9","9",0.0853,"- 47.42","- 99.75",0.3667,0.1052,-99.75,1.268e-05,-99.76,"ConnectJob",3.77103611963287,1.55565212507027e-08,41.0738830582306,47.7450199788783,1
"322",322,528,"SEN",0.0022,2.77746215707811e-07,-0.23,0.37,30.09,"25.33","10.52","-5.02","-50.38","-86.39",3570000,3570000,33190,33190,1.627e+09,"1,650,000,000",NA,62.8,36,100,30,58,70,90,100,50,"10","10",0.01,"- 29.65","- 84.77",25153,0.0527,-95.84,5.37e-06,-94.79,"Consensus",450.706359125857,-1.97599707891523e-07,-71.1439784653619,-75.1129073357862,0
"323",323,1674,"CSM",0.6596,8.32733654003964e-05,0.29,6.17,32.13,"-79.56","-87.51","-86.52","-56.01","-56.01",1,1,747930,747930,1,"240,000,000",NA,47.6,NA,NA,50,80,48,90,100,0,"6","6",2.03,"- 5.65","- 36.89",465033,8.2,-91.96,0.0022,-96.24,"Consentium",0.000126248279867187,-7.59933909404169e-05,-91.2577395845889,5.80541229367272,0
"324",324,648,"DAG",0.002,2.52496559734374e-07,-0.71,-1.91,8.83,"48.41","-15.60","-5.65","-58.12","-89.79",2080000,2080000,161840,161840,1.036e+09,"4,000,000,000",NA,52.55,86,50,90,16,58,55,100,40,"8","8",0.0324,"- 38.82","- 95.64",49399,0.0302,-93.36,4.56e-06,-94.52,"Constellation",262.596422123749,1.96489015651627e-06,778.184922037483,668.10659886272,1
"325",325,1735,"CAN",0.0012,1.51497935840624e-07,0.31,25.13,102.14,"-35.74","-18.08","-18.57","-54.01","-89.99",1,1,15980,15980,1,"1,500,000,000",NA,32.65,63,0,0,61,41,0,100,0,"13","13",0.268,"- 12.48","- 99.31",1170,0.143,-99.14,1.272e-05,-98.74,"Content and AD Network",0.000126248279867187,-1.39434550639143e-07,-92.037261013132,5.80541229367272,0
"326",326,381,"CNN",2e-04,2.52496559734374e-08,-0.2,-1.38,-8.88,"55.85","19.32","12.35","-48.26","-86.75",6820000,6820000,477980,477980,3.9035e+10,"100,000,000,000",NA,52.6,66,75,80,61,51,0,100,25,"9","9",0.0026,"- 31.95","- 95.90",113500,0.0036,-95.09,5.3e-07,-96.19,"Content Neutrality Network",861.013268694214,-1.93962893525878e-08,-76.8180341664563,-73.4710769762199,0
"327",327,416,"BOX",0.0068,8.5848830309687e-07,-1.21,9.85,33.12,"214.20","186.42","151.67","-29.68","-80.62",5760000,5760000,1380000,1380000,851610000,"3,000,000,000",NA,59.2,28,75,60,74,70,5,70,50,"7","7",0.0408,"- 40.83","- 95.06",143635,0.0376,-82.01,5.37e-06,-84.17,"ContentBox",727.190092034996,-4.44398012712715e-07,-51.7651796896491,-47.8320536607586,0
"328",328,1712,"CNET",0.0027,3.40870355641404e-07,0,0,-73.51,"-5.80","-36.58","-41.92","-86.23","-97.86",1,1,1,1,1,"23,000,000",NA,33.2,23,25,15,36,36,0,100,30,"8","8",0.7125,"- 64.92","- 99.18",40,0.6892,-99.61,9.001e-05,-99.62,"ContractNet",0.000126248279867187,7.67823002483915e-07,225.253674828698,5.80541229367272,1
"329",329,861,"CPY",0.0172,2.17147041371561e-06,-0.54,-5.36,-34.74,"-46.04","-40.91","-58.87","-68.69","-83.34",826770,826770,821,821,48095000,"53,000,748",NA,64.15,56,100,35,53,64,70,100,80,"11","11",0.3884,"- 15.12","- 89.41",186,0.3182,-94.6,2.825e-05,-92.32,"Copytrack",104.378290345794,-7.55548775627856e-07,-34.7943389352944,-34.4553406455841,0
"330",330,149,"CTXC",0.1866,2.35579290232171e-05,2.54,-0.66,30.89,"76.83","31.83","47.73","-38.12","-66.36",27950000,27950000,8850000,8850000,149792000,"299,792,458",NA,78.65,63,75,60,81,85,90,100,70,"10","10",0.8173,"- 30.47","- 87.26",2276784,2.39,-92.2,3e-04,-90.73,"Cortex",3528.63942228787,-1.24042066854503e-05,-52.6540625588334,-52.6809426235809,0
"331",331,199,"COSM",0.0271,3.42132838440076e-06,1.84,2.59,23.27,"215.38","199.83","176.90","57.18","57.18",18160000,18160000,6360000,6360000,670781000,"923,000,000",NA,56,40,100,30,36,70,50,100,50,"6","6",0.0371,"- 20.12","- 74.20",260675,0.0663,-59.15,9.9e-06,-65.45,"Cosmo Coin",2292.66876238811,-2.60650555493517e-06,-76.184021587033,-76.3452657537273,0
"332",332,1609,"COU",1.804e-05,2.27751896880405e-09,1.33,0.2,41.53,"111.70","59.99","80.87","4.48","-79.08",1,1,41050,41050,1,"30,000,000,000",NA,46.3,63,50,50,61,44,5,100,25,"8","8",2e-04,"- 26.06","- 95.80",23795,2e-04,-92.66,4e-08,-100,"Couchain",0.000126248279867187,-2.13993413038609e-09,-93.9590036218136,1053721.90644498,0
"333",333,543,"XCP",1.3,0.000164122763827343,3.25,-0.4,-35.17,"-36.54","-45.09","-48.27","-63.3","-84.01",3390000,3390000,44210,44210,2616000,"2,615,665",NA,61.95,46,0,50,90,43,75,70,80,"60","60",5.82,"- 24.33","- 72.64",12658,85.59,-98.49,0.0219,-99.25,"Counterparty",427.981668749763,3.22361803225632e-05,19.6415046705376,20.1624888880946,0
"334",334,377,"COVA",0.0041,5.17617947455466e-07,1.81,15.25,71.54,"84.01","129.19","129.19%","list(NULL)","list(NULL)",6960000,6960000,1130000,1130000,1.714e+09,"6,500,000,000",NA,63.65,NA,NA,30,95,66,50,100,40,"1","1",0.0027,"- 50.29","- 51.49",318278,0.0041,0,6.6e-07,-23.19,"COVA",878.68802787562,-4.90902444850037e-07,-94.8387603759184,-90.9951385097475,0
"335",335,518,"COV",0.2051,2.589352220076e-05,3.04,-11.43,-20.25,"-11.35","-41.14","-51.72","-74.5","-82.23",3690000,3690000,19790,19790,1.8e+07,"20,000,000",NA,67.45,41,50,45,83,70,90,100,50,"12","12",2.39,"- 42.64","- 93.77",14213,2.05,-89.98,2e-04,-88.3,"Covesting",465.856152709919,-1.66633160505842e-05,-64.3532228693672,-64.4447937007712,0
"336",336,351,"CPC",0.021,2.65121387721092e-06,-1.7,2.84,46.67,"47.31","21.77","42.14","-34.37","-69.04",7930000,7930000,2890000,2890000,376766000,"999,999,999",NA,61.8,43,0,50,58,66,55,100,75,"12","12",0.3266,"- 25.01","- 95.78",327077,0.3453,-93.91,4.25e-05,-93.74,"CPChain",1001.14885934679,-2.02339956598333e-06,-76.3197410580827,-76.6507602126195,0
"337",337,1366,"CRM",0.0012,1.51497935840624e-07,0,0,-8.24,"-62.42","2.90","-11.79","-44.23","-72.71",54400,54400,1,1,45109000,"45,108,749",1e+08,50.8,NA,NA,30,98,45,25,100,15,"18","18",0.0133,"- 3.09","- 75.64",248,0.1365,-99.12,9.8e-06,-98.47,"Cream",6.86790642477496,-7.1351428024336e-08,-47.0972938531635,-47.0583948045262,0
"338",338,777,"CTC",0.023,2.9037104369453e-06,-0.19,4.76,42.68,"17.39","84.84","49.97","-29.38","-29.38",1210000,1210000,109310,109310,52337000,"925,942,312",NA,53.3,NA,NA,50,100,42,0,100,20,"5","5",0.0923,"- 14.44","- 77.39",48740,0.266,-91.34,4.158e-05,-93,"Credit Tag Chain",152.760418639296,4.29611751521793e-06,147.952683592563,181.564816186468,1
"339",339,1307,"CRB",0.0049,6.18616571349215e-07,1.51,12.13,21.53,"-58.65","-36.17","-17.76","-36","-92.44",82790,82790,655,655,16900000,"16,900,214",NA,51.05,43,50,80,88,45,50,70,5,"37","37",0.0088,"- 8.12","- 39.57",842,2.66,-99.82,0.0023,-99.97,"Creditbit",10.4520950902044,-5.51827814835642e-07,-89.2035293577885,-88.676942228265,0
"340",340,278,"CS",0.0711,8.97625269855698e-06,3.28,18.11,10.05,"13.53","-32.62","-37.74","-60.56","-69.07",11370000,11370000,2680000,2680000,159973000,"249,471,071",249471071,71.75,100,75,90,53,75,75,100,60,"11","11",0.2806,"- 30.55","- 79.89",1234277,0.901,-92.11,1e-04,-91.18,"Credits",1435.44294208991,7.61548001122033e-07,8.48403032642403,26.1848188832195,0
"341",341,220,"CREDO",0.0293,3.69907460010857e-06,10.76,48.63,200.1,"-34.43","-30.52","-51.62","-19.59","-10.31",16100000,16100000,348,348,549892000,"1,374,729,257",NA,50.2,46,50,30,78,75,20,70,0,"17","17",0.0431,"- 2.47","- 5.16",1450,0.2033,-85.59,3.525e-05,-89.5,"Credo",2032.59730586171,-3.29834206102713e-06,-89.1666813351188,-89.0251528863085,0
"342",342,1565,"CREVA",7.902e-05,9.9761390751051e-09,-0.13,-33.34,-33.34,"118.95","34.48","96.32","-38.58","-1.67",2880,2880,102,102,36391000,"6,240,390,800",NA,10.55,0,0,5,8,21,0,30,0,"43","43",0.0118,"- 18.98","- 99.42",34,0.1139,-99.93,2e-04,-100,"CrevaCoin",0.363595046017498,2.94635901552228e-10,2.95340611567302,2.8663730632929,0
"343",343,841,"CMCT",0.0019,2.39871731747655e-07,3.43,2.77,2.33,"16.33","0.17","-19.18","-42.54","-93.55",891540,891540,687500,687500,470165000,"2,000,000,000",NA,63.7,72,75,20,76,70,5,100,70,"9","9",0.0992,"- 14.43","- 97.97",483863,0.0743,-97.45,1.103e-05,-97.82,"Crowd Machine",112.555391432792,-1.73082975234081e-07,-72.1564704490334,-73.9978398798218,0
"344",344,1290,"YUP",5e-04,6.31241399335934e-08,-0.23,-34.43,-0.63,"28.51","-1.09","-19.02","-47.51","-79.68",89030,89030,1008,1008,170499000,"445,000,000",NA,49.95,NA,NA,50,96,43,95,100,0,"7","7",0.0028,"- 19.70","- 80.72",58,0.003,-82.82,4.5e-07,-84.46,"Crowdholding",11.2398843565756,-3.6408637328164e-08,-57.6778350825308,-50.9299621070901,0
"345",345,1313,"WIZ",0.0092,1.16148417477812e-06,-2.91,-18.03,-19.73,"-56.13","-30.29","-51.07","-51.07","list(NULL)",79550,79550,557,557,8632000,"11,169,314",NA,39.75,58,75,30,43,29,10,70,40,"3","3",0.0196,"N/A","6.32",665,0.0402,-77.06,1.058e-05,-89.04,"CrowdWiz",10.0430506634347,-1.99726080982661e-07,-17.1957642919083,-66.8285734430646,0
"346",346,552,"CRW",0.1457,1.83943743766491e-05,0.72,0.79,18.35,"27.42","6.78","-5.38","-62.56","-69.7",3230000,3230000,17520,17520,22185000,"22,184,549",4.2e+07,68.7,86,50,50,98,51,20,100,80,"51","51",0.011,"- 38.51","743.65",16323,4.55,-96.8,7e-04,-97.49,"Crown",407.781943971013,-1.27173300729954e-05,-69.1370623028064,-67.2429064106276,0
"347",347,1188,"CRC",0.0353,4.45656427931169e-06,-0.22,-11.6,-7.58,"-61.19","-55.46","34.83","-59.6","-81.08",162960,162960,712,712,4618000,"7,057,137",NA,68.1,49,75,50,88,62,25,100,90,"9","9",0.4764,"- 0.43","- 81.05",4701,0.7156,-95.07,1e-04,-95.69,"CryCash",20.5734196871568,-1.68726111140277e-07,-3.78601318337383,-0.674325155338688,0
"348",348,1637,"CRD",0.0032,4.03994495574998e-07,-11.22,8.01,2.99,"-36.95","-41.57","-56.97","-62.71","-62.71",1,1,3870,3870,1,"1,000,000,000",NA,43.25,NA,NA,50,75,44,5,100,0,"4","4",0.0105,"- 14.99","- 77.19",39357,0.0252,-87.47,4e-06,-89.99,"CryptalDash",0.000126248279867187,-2.57059231245136e-07,-63.6293895240499,118501961.768914,0
"349",349,415,"CPT",8e-04,1.00998623893749e-07,-0.2,-1.94,-0.88,"-16.22","-27.99","-40.05","-70.34","-74.8",5820000,5820000,27250,27250,7.577e+09,"27,662,180,148",NA,64.95,86,75,30,63,70,95,100,55,"8","8",0.0037,"- 30.87","- 76.62",16172,0.0045,-82.75,6.8e-07,-85.29,"Cryptaur",734.764988827027,-8.76408725910348e-08,-86.7743234632908,-67.4584728512587,0
"350",350,508,"CRYP",0.0015,1.8937241980078e-07,2.57,18.77,45.97,"-7.72","-38.26","-27.92","-74.74","-74.74",3890000,3890000,114070,114070,2.55e+09,"4,249,990,120",7598607351,53.65,30,25,25,85,55,45,100,30,"3","3",0.0024,"- 23.33","- 37.68",194848,0.0079,-80.66,1.43e-06,-86.74,"CrypticCoin",491.105808683357,-1.62656917195351e-07,-85.8926116941769,-85.1673867644965,0
"351",351,69,"MCO",5.26,0.000664065952101403,-0.16,6.7,16.66,"135.75","96.08","135.99","20.93","-22.27",83060000,83060000,12740000,12740000,15794000,"31,587,682",NA,60.2,28,0,40,73,80,20,100,60,"19","19",2.25,"- 23.18","- 12.02",7087905,24.22,-78.28,0.0055,-88,"Crypto.com",10486.1821257685,-0.000109719273038743,-16.5223458139274,-16.6014887687601,0
"352",352,935,"CCRB",0.0236,2.97945940486561e-06,1.11,-1.99,25.59,"138.60","94.17","59.93","15.51","-77.88",583340,583340,1323,1323,24691000,"70,000,000",7e+07,55.95,61,0,30,78,62,5,100,50,"25","25",3.67,"- 10.43","- 99.67",8645,2.83,-99.16,0.0029,-99.9,"CryptoCarbon",73.6456715777248,-2.37836059624345e-06,-79.8252391812912,-79.8851095015457,0
"353",353,1529,"CFL",7.902e-05,9.9761390751051e-09,-2.85,-42.88,-5.13,"-97.13","-97.22","-96.81","-98.5","-98.5",7270,7270,1014,1014,92026000,"386,848,901",3e+09,52.1,NA,NA,10,100,52,5,100,20,"5","5",0.0077,"- 30.10","- 76.31",1719,0.0165,-99.52,2.55e-06,-99.61,"CryptoFlow",0.917824994634448,1.04955833053678e-10,1.05206866367382,1.14822770853178,0
"354",354,1432,"CJ",7.902e-05,9.9761390751051e-09,-0.13,-1.34,33.32,"10.35","-2.01","-34.56","-69.72","-79.09",32130,32130,198,198,406569000,"406,568,581",NA,44.15,NA,NA,30,85,43,50,70,5,"31","31",9.715e-05,"- 35.61","- 28.82",16,0.0164,-99.52,5.71e-06,-99.82,"Cryptojacks",4.05635723213271,2.6415928054392e-09,26.4791096590779,26.4857107438522,0
"355",355,66,"CNX",1.61,0.000203259730586171,-0.07,-2.52,15.39,"52.30","35.46","35.84","-21.58","-41.54",89900000,89900000,20260000,20260000,55686000,"107,135,054",2.1e+08,51.4,43,0,50,63,73,5,100,20,"16","16",2.7,"- 20.50","- 63.67",5565552,10.15,-84.09,9e-04,-76.78,"Cryptonex",11349.7203600601,5.58806446864943e-05,27.4922359315062,27.2371871309121,0
"356",356,985,"XCN",6e-04,7.57489679203121e-08,-0.13,11.93,31,"118.45","56.83","53.73","-10.87","-48.57",447870,447870,1468,1468,708507000,"708,506,520",NA,45.7,NA,NA,10,88,28,25,100,40,"54","54",0.0449,"- 17.57","- 99.25",253,0.0744,-99.15,3.329e-05,-99.76,"Cryptonite",56.542817104117,-6.57493552950999e-08,-86.7990113928261,-87.4697589299207,0
"357",357,659,"CPAY",0.0287,3.62332563218826e-06,0.82,11.13,68.77,"121.63","136.92","28.69","-11.09","-11.21",1960000,1960000,1970,1970,68345000,"90,414,745",NA,68.9,59,50,40,80,64,70,100,90,"13","13",0.1866,"- 29.88","- 92.77",375,0.3258,-91.2,2.206e-05,-83.59,"Cryptopay",247.446628539686,3.57284256020718e-07,9.86067199830843,10.1240005505576,0
"358",358,1134,"PING",0.0215,2.71433801714452e-06,-0.13,-17.19,-8.87,"-49.61","-24.02","-44.19","-52.39","-83.86",213890,213890,698,698,9952000,"9,952,089",NA,33.75,NA,NA,50,78,15,0,100,0,"19","19",0.3192,"- 35.95","- 96.27",22,1.2,-98.2,1e-04,-97.88,"CryptoPing",27.0032445807926,5.82126506529017e-06,214.463527700729,184.471076009736,1
