Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap,MCAP BTC,24h Vol,24h Vol BTC,Circ. Supply,Total Supply,Max. Supply,Team,Advisors,Brand/Buzz,Product,Coin,Social,Communication,Business,GitHub,GitHub,Avg. volume,Age (mo),Winning months,label_Price,label_Mkt. Cap,label_growth_rate_Price,label_growth_rate_Mkt. Cap,label_disappeared
HTMLCOIN,478.0,HTML,8.06e-05,1e-08,-1.04,-0.35,-1.33,5.1,-2.43,-15.61,-49.31,-60.58,4.28,4.28,28.17,28.17,53.067,80434575000.0,,62.45,8.0,0.0,60.0,89.0,52.0,95.0,100.0,,,7798.0,13.0,13.0,2.678e-05,1.42,-0.667741935483871,-0.6682242990654206,FALSE
Bounty0x,764.0,BNTY,0.0056,7.1e-07,0.61,0.68,28.64,82.46,68.04,82.56,-30.38,-76.47,1.25,1.25,17.71,17.71,221.831,500000000.0,,62.45,28.0,75.0,40.0,88.0,49.0,90.0,70.0,,,10915.0,13.0,13.0,0.0014,335.0,-0.75,267.0,FALSE
DOVU,805.0,DOV,0.0027,3.4e-07,-1.56,1.68,31.0,-36.86,-39.31,-57.74,-77.98,-93.87,1.08,1.08,672.52,672.52,399.759,963761390.0,,62.4,39.0,75.0,70.0,37.0,70.0,95.0,100.0,,,16607.0,15.0,15.0,0.0005,215.72,-0.8148148148148148,198.7407407407407,FALSE
Digitex Futures,180.0,DGTX,0.0277,3.5e-06,-0.95,7.22,-5.25,-14.9,-41.91,-55.37,-63.26,290.88,20.84,20.84,1.43,1.43,751.31,1000000000.0,,62.3,39.0,50.0,50.0,53.0,83.0,70.0,100.0,,,403533.0,8.0,8.0,0.043,33.85,0.5523465703971119,0.6242802303262956,FALSE
APIS,318.0,APIS,0.002,2.5e-07,-1.14,20.51,-14.09,-0.42,-25.35,-48.92,-47.89,-65.7,9.69,9.69,54.9,54.9,4.873,9520000000.0,,62.3,83.0,100.0,50.0,76.0,84.0,5.0,100.0,15.0,15.0,1507374.0,8.0,8.0,0.0005,4.46,-0.75,-0.5397316821465428,FALSE
Ubiq,296.0,UBQ,0.2503,3.16e-05,2.26,2.86,28.71,19.39,12.99,0.05,-54.51,-54.51,10.66,10.66,23.72,23.72,42.609,42609099.0,,62.3,83.0,0.0,80.0,78.0,55.0,75.0,70.0,50.0,50.0,9894.0,53.0,53.0,0.066,2.81,-0.7363164202956453,-0.7363977485928705,FALSE
Privatix,639.0,PRIX,1.96,0.00024743,-0.15,-6.21,5.03,98.7,157.59,254.93,141.8,7.32,2.14,2.14,2.14,2.14,1.093,1275455.0,,62.2,,,30.0,98.0,36.0,5.0,100.0,80.0,80.0,1610.0,15.0,15.0,0.1802,197.65,-0.908061224489796,91.35981308411215,FALSE
OpenAnx,246.0,OAX,0.2079,2.625e-05,2.93,-1.59,32.36,28.35,107.29,105.61,-31.91,-38.04,14.06,14.06,2.45,2.45,67.63,100000000.0,,62.15,66.0,75.0,50.0,73.0,70.0,75.0,100.0,30.0,30.0,2936625.0,18.0,18.0,0.0617,4.63,-0.7032227032227032,-0.6706970128022759,FALSE
IQeon,791.0,IQN,0.4086,5.158e-05,-3.39,9.26,22.88,114.97,99.06,129.51,143.15,143.15,1.13,1.13,2.46,2.46,2.775,5491860.0,,62.15,65.0,25.0,25.0,90.0,61.0,5.0,100.0,,,1024.0,4.0,4.0,0.6098,2.27,0.49241311796377873,1.0088495575221241,FALSE
Bibox Token,133.0,BIX,0.3133,3.955e-05,0.21,-6.35,18.34,146.79,105.45,89.27,-10.05,-58.15,34.28,34.28,10.29,10.29,109.429,262971747.0,,62.1,10.0,50.0,50.0,78.0,85.0,0.0,100.0,,,686065.0,13.0,13.0,0.1052,11.23,-0.6642195978295563,-0.6724037339556592,FALSE
Alis,629.0,ALIS,0.0573,7.23e-06,-0.13,-6.0,18.74,99.51,82.3,59.46,11.68,-30.79,2.24,2.24,1.37,1.37,39.127,75200000.0,,62.1,45.0,0.0,60.0,83.0,67.0,20.0,70.0,,,2329.0,16.0,16.0,0.038,1.5,-0.3368237347294939,-0.3303571428571429,FALSE
FundRequest,1281.0,FND,0.002,2.5e-07,3.45,36.91,110.11,-32.41,-57.51,-68.14,-81.53,-95.72,95.57,95.57,320.65,320.65,47.783,98611464.0,,62.1,83.0,75.0,50.0,68.0,42.0,5.0,100.0,90.0,90.0,2434.0,9.0,9.0,0.001,49.21,-0.5,-0.4850894632206759,FALSE
Hiveterminal Token,542.0,HVN,0.0083,1.04e-06,-1.7,-6.06,10.04,103.3,32.47,29.08,-59.12,-59.12,3.4,3.4,95.1,95.1,410.719,500000000.0,,62.05,22.0,50.0,40.0,78.0,67.0,75.0,100.0,,,2740.0,17.0,17.0,0.0019,799.82,-0.7710843373493976,234.24117647058827,FALSE
PAYCENT,821.0,PYN,0.0323,4.08e-06,-0.36,-47.3,-54.58,57.23,-19.21,-18.53,-68.71,-68.71,990.71,990.71,1.98,1.98,30.663,100000000.0,,62.05,35.0,50.0,20.0,88.0,67.0,45.0,100.0,,,2099.0,5.0,5.0,0.0053,76.63,-0.8359133126934984,-0.9226514318014354,FALSE
GINcoin,681.0,GIN,0.2971,3.751e-05,1.07,3.34,-26.51,-63.97,-74.97,-80.84,-87.91,-96.23,1.81,1.81,18.28,18.28,6.093,6093049.0,,62.0,,,30.0,96.0,66.0,70.0,100.0,30.0,30.0,61430.0,8.0,8.0,0.0063,48.77,-0.9787950185122853,25.944751381215468,FALSE
Winding Tree,628.0,LIF,0.1051,1.327e-05,-0.23,4.18,13.43,-33.68,-47.27,-50.32,-64.04,-64.04,2.25,2.25,1.47,1.47,21.358,24976439.0,,62.0,36.0,50.0,50.0,68.0,64.0,80.0,100.0,,,696.0,6.0,6.0,0.097,2.07,-0.077069457659372,-0.08000000000000007,FALSE
AdHIve,1033.0,ADH,0.0027,3.5e-07,0.88,29.45,18.85,-4.41,10.09,-34.66,-74.72,-95.76,359.56,359.56,2.3,2.3,131.377,392000000.0,,62.0,45.0,100.0,35.0,74.0,65.0,5.0,100.0,,,20957.0,10.0,10.0,0.0005,65.7,-0.8148148148148148,-0.8172766714873735,FALSE
Counterparty,543.0,XCP,1.3,0.00016369,3.25,-0.4,-35.17,-36.54,-45.09,-48.27,-63.3,-84.01,3.39,3.39,44.21,44.21,2.616,2615665.0,,61.95,46.0,0.0,50.0,90.0,43.0,75.0,70.0,80.0,80.0,12658.0,60.0,60.0,1.47,3.85,0.13076923076923072,0.13569321533923304,FALSE
Leadcoin,1273.0,LDC,0.0001,2e-08,-0.22,3.01,47.0,-16.42,-31.14,-65.0,-79.45,-96.37,103.16,103.16,24.92,24.92,784.4,2627412706.0,,61.95,86.0,100.0,10.0,66.0,52.0,55.0,100.0,80.0,80.0,2648.0,11.0,11.0,7.874e-05,61.76,-0.2126000000000001,-0.4013183404420318,FALSE
Bitcoin Green,707.0,BITG,0.2315,6.705e-05,0.92,17.77,-16.27,-37.26,-52.2,-68.79,-85.23,-91.51,1.63,1.63,7.06,7.06,7.054,7054013.0,21000000.0,61.85,0.0,0.0,50.0,88.0,55.0,25.0,100.0,80.0,80.0,8462.0,11.0,11.0,,,,,TRUE
Adshares,560.0,ADS,0.1001,1.264e-05,-1.84,-9.1,8.66,-2.08,58.86,101.95,-2.47,-9.41,3.04,3.04,25.45,25.45,30.315,38758206.0,,61.85,28.0,0.0,30.0,70.0,67.0,95.0,100.0,,,1204.0,18.0,18.0,0.031,1.08,-0.6903096903096902,-0.6447368421052632,FALSE
GoByte,1010.0,GBX,0.1074,1.356e-05,-0.38,-0.16,-16.93,-45.47,-67.68,-75.32,-87.87,-95.18,391.18,391.18,26.93,26.93,3.642,4466723.0,31800000.0,61.85,59.0,50.0,60.0,91.0,61.0,5.0,100.0,,,17271.0,15.0,15.0,0.0192,121.62,-0.8212290502793297,-0.6890945344854031,FALSE
Playkey,816.0,PKT,0.0739,9.33e-06,1.65,0.72,23.07,137.87,69.93,6.69,-18.51,-81.77,1.03,1.03,25.91,25.91,13.922,19893268.0,,61.85,56.0,100.0,40.0,53.0,65.0,55.0,70.0,,,33428.0,14.0,14.0,0.0243,337.92,-0.6711772665764546,327.07766990291265,FALSE
Auxilium,973.0,AUX,0.0044,5.5e-07,-0.13,5.61,47.75,32.02,47.97,78.48,-11.46,-11.46,465.07,465.07,1.02,1.02,106.78,300000000.0,300000000.0,61.85,,,30.0,90.0,52.0,95.0,100.0,55.0,55.0,5222.0,4.0,4.0,0.0023,263.42,-0.4772727272727273,-0.4335906422689057,FALSE
CPChain,351.0,CPC,0.021,2.66e-06,-1.7,2.84,46.67,47.31,21.77,42.14,-34.37,-69.04,7.93,7.93,2.89,2.89,376.766,999999999.0,,61.8,43.0,0.0,50.0,58.0,66.0,55.0,100.0,75.0,75.0,327077.0,12.0,12.0,0.0047,1.75,-0.7761904761904762,-0.7793190416141236,FALSE
GridCoin,544.0,GRC,0.0081,1.02e-06,-0.39,-7.07,-3.73,81.59,36.58,33.43,-22.59,-73.13,3.39,3.39,4.97,4.97,418.181,418181311.0,,61.8,63.0,0.0,50.0,65.0,48.0,55.0,100.0,90.0,90.0,2488.0,47.0,47.0,0.0027,1.14,-0.6666666666666666,-0.663716814159292,FALSE
Humaniq,678.0,HMQ,0.01,1.26e-06,0.13,-4.59,10.97,5.29,10.27,13.76,-62.2,-84.85,1.85,1.85,139.15,139.15,185.287,206618753.0,920952070.0,61.8,41.0,75.0,60.0,58.0,70.0,25.0,100.0,,,158550.0,21.0,21.0,0.0054,1.01,-0.45999999999999996,-0.4540540540540541,FALSE
OWNDATA,775.0,OWN,0.0001,1e-08,-0.76,3.98,122.81,33.27,-48.46,-36.33,-45.56,-45.56,1.21,1.21,29.79,29.79,11.0,110000000000.0,,61.7,25.0,100.0,35.0,90.0,70.0,5.0,100.0,,,34849.0,6.0,6.0,2.901e-05,319.08,-0.7099000000000001,262.702479338843,FALSE
Machine Xchange Coin,419.0,MXC,0.0071,9e-07,3.13,7.22,14.66,-28.46,-37.08,6.06,6.06,,5.71,5.71,1.17,1.17,799.49,2664965800.0,,61.65,21.0,75.0,40.0,47.0,79.0,90.0,100.0,,,3015044.0,2.0,2.0,0.0014,1.97,-0.8028169014084506,-0.6549912434325744,FALSE
Paccoin,526.0,PAC,0.0005,7e-08,-0.38,2.44,-42.45,-28.18,-45.89,-53.23,-68.47,-88.18,3.59,3.59,34.42,34.42,6.823,6873917844.0,100000000000.0,61.65,46.0,25.0,80.0,90.0,51.0,25.0,100.0,50.0,50.0,14433.0,39.0,39.0,,,,,TRUE
Bitcoin Interest,671.0,BCI,0.1036,1.308e-05,0.58,1.62,20.3,-59.15,-72.5,-72.32,-83.14,-94.95,1.9,1.9,73.28,73.28,18.327,18326892.0,22300000.0,61.65,63.0,0.0,100.0,68.0,63.0,40.0,100.0,40.0,40.0,2694.0,9.0,9.0,0.036,660.27,-0.6525096525096524,346.5105263157895,FALSE
United Traders Token,291.0,UTT,0.2928,3.697e-05,-0.14,-8.55,-22.55,36.93,19.92,2.71,-23.92,-56.91,10.95,10.95,4.55,4.55,37.407,69403131.0,,61.6,46.0,0.0,45.0,53.0,76.0,95.0,100.0,,,412.0,13.0,13.0,0.2508,9.41,-0.1434426229508196,-0.14063926940639263,FALSE
Propy,288.0,PRO,0.1953,2.465e-05,-0.94,-1.58,10.14,71.41,47.36,38.64,-55.77,-55.77,11.13,11.13,2.06,2.06,57.006,100000000.0,,61.6,53.0,50.0,30.0,73.0,73.0,0.0,100.0,,,503655.0,17.0,17.0,0.0787,3.77,-0.5970302099334357,-0.6612758310871519,FALSE
Truegame,829.0,TGAME,0.0113,1.43e-06,-0.44,9.12,0.26,28.04,12.5,-8.99,-23.04,-64.85,937.14,937.14,63.88,63.88,82.575,101945017.0,,61.55,38.0,100.0,30.0,61.0,52.0,95.0,100.0,,,55835.0,7.0,7.0,0.0025,202.46,-0.7787610619469026,-0.7839597071942292,FALSE
Blockcat,1158.0,CAT,0.0249,3.15e-06,-0.28,29.86,29.86,-72.26,-67.96,-45.85,-74.24,-89.74,183.6,183.6,518.97,518.97,7.36,9200151.0,,61.55,37.0,0.0,70.0,80.0,61.0,55.0,100.0,,,261.0,18.0,18.0,0.0119,87.63,-0.5220883534136546,-0.5227124183006536,FALSE
Lunyr,403.0,LUN,2.66,0.00033553,1.24,4.13,25.89,-0.77,59.55,47.52,-35.13,-65.06,6.11,6.11,1.07,1.07,2.298,2703356.0,,61.5,83.0,100.0,50.0,78.0,70.0,5.0,100.0,30.0,30.0,4366632.0,21.0,21.0,0.969,2.23,-0.6357142857142858,-0.6350245499181669,FALSE
DNotes,614.0,NOTE,0.0175,2.21e-06,1.33,1.4,81.05,69.79,50.49,79.95,-6.13,-68.24,2.36,2.36,168.7,168.7,135.043,155043262.0,,61.45,86.0,0.0,50.0,88.0,51.0,95.0,100.0,45.0,45.0,68499.0,59.0,59.0,0.0029,396.17,-0.8342857142857143,166.86864406779662,FALSE
Invictus Hyperion Fund,1627.0,IHF,0.043,5.43e-06,-0.12,-5.52,64.44,138.45,53.45,78.03,18.08,18.08,0.0,0.0,3.42,3.42,0.0,122852180.0,,61.45,75.0,0.0,25.0,75.0,54.0,100.0,100.0,,,2652.0,5.0,5.0,0.0281,3.36,-0.3465116279069767,1,FALSE
SPINDLE,460.0,SPD,0.0015,1.9e-07,-1.33,20.91,49.6,80.65,-24.04,-24.21,-43.87,-78.85,4.72,4.72,51.36,51.36,3.15,10000000000.0,,61.35,86.0,100.0,80.0,86.0,66.0,5.0,100.0,10.0,10.0,31123.0,8.0,8.0,0.0001,379.8,-0.9333333333333333,79.46610169491525,FALSE
Myriad,527.0,XMY,0.0022,2.7e-07,-1.64,-3.16,28.94,46.21,18.09,-11.51,-30.5,-48.16,3.59,3.59,19.09,19.09,1.668,1667636750.0,2000000000.0,61.35,,,50.0,83.0,40.0,5.0,70.0,80.0,80.0,6591.0,59.0,59.0,0.0008,1.41,-0.6363636363636365,-0.607242339832869,FALSE
United Bitcoin,1631.0,UBTC,1.83,0.00023109,19.42,22.0,-11.08,-4.73,-23.6,-20.6,-51.65,-65.72,0.0,0.0,110.65,110.65,0.0,21000000.0,21000000.0,61.35,,,10.0,93.0,44.0,5.0,100.0,80.0,80.0,106078.0,14.0,14.0,1.33,0.0,-0.27322404371584696,1,FALSE
USD//Coin,28.0,USDC,1.0,0.00012657,0.28,0.43,-0.39,-0.6,-0.68,-0.49,-0.04,-0.04,356.18,356.18,294.82,294.82,355.284,355815672.0,,61.3,0.0,0.0,30.0,80.0,90.0,0.0,100.0,,,21200727.0,4.0,4.0,1.01,467.55,0.010000000000000009,0.31267898253691956,FALSE
Mithril,165.0,MITH,0.0419,5.28e-06,0.71,-4.28,16.89,-14.72,-36.86,-43.71,-83.86,-93.45,23.83,23.83,12.09,12.09,569.317,1000000000.0,,61.3,83.0,75.0,50.0,66.0,84.0,25.0,100.0,20.0,20.0,3615587.0,10.0,10.0,0.0097,6.93,-0.7684964200477327,-0.7091900965169954,FALSE
DAOstack,347.0,GEN,0.1972,2.49e-05,-0.04,5.34,11.44,134.0,196.94,278.43,84.98,13.25,8.14,8.14,47.51,47.51,41.255,60000000.0,,61.3,57.0,75.0,50.0,85.0,52.0,25.0,100.0,,,14810.0,9.0,9.0,0.0736,3.04,-0.6267748478701826,-0.6265356265356266,FALSE
wys Token,1625.0,WYS,0.0261,3.3e-06,-0.23,57.67,140.44,251.24,223.58,211.78,145.25,145.25,0.0,0.0,315.65,315.65,0.0,102340100.0,,61.3,65.0,100.0,25.0,83.0,51.0,45.0,100.0,,,81.0,7.0,7.0,0.0004,42.19,-0.9846743295019157,1,FALSE
Unikoin Gold,499.0,UKG,0.028,3.54e-06,0.04,-11.96,4.33,-17.0,24.25,17.04,-61.5,-69.08,4.02,4.02,117.08,117.08,143.322,1000000000.0,,61.25,68.0,75.0,50.0,78.0,40.0,80.0,100.0,,,52765.0,15.0,15.0,0.0108,1.58,-0.6142857142857143,-0.6069651741293531,FALSE
Clipper Coin,91.0,CCCX,0.0156,1.97e-06,12.38,21.79,350.96,485.45,407.94,3987.0,1887.0,172.3,58.84,58.84,88.99,88.99,3.776,5000000000.0,,61.25,42.0,75.0,30.0,75.0,70.0,0.0,100.0,,,24574.0,7.0,7.0,0.024,70.7,0.5384615384615385,0.20156356220258326,FALSE
VeriCoin,514.0,VRC,0.1208,1.526e-05,1.01,9.58,8.81,79.88,54.3,51.35,9.12,-61.74,3.83,3.83,334.63,334.63,31.708,31707592.0,,61.25,86.0,0.0,80.0,88.0,51.0,5.0,100.0,50.0,50.0,38969.0,57.0,57.0,0.0235,759.18,-0.8054635761589404,197.21932114882503,FALSE
Yee,553.0,YEE,0.0023,3e-07,0.04,0.69,3.13,92.69,77.78,24.74,-43.96,-81.81,3.2,3.2,877.8,877.8,1.365,10000000000.0,,61.25,42.0,75.0,20.0,73.0,70.0,50.0,100.0,,,263254.0,13.0,13.0,0.0009,1.27,-0.6086956521739131,-0.603125,FALSE
Rate3,651.0,RTE,0.0023,2.9e-07,-3.46,-4.8,6.61,114.99,72.57,67.75,-53.6,-87.0,2.04,2.04,405.79,405.79,889.382,1000000000.0,,61.25,41.0,75.0,40.0,60.0,67.0,70.0,100.0,,,224489.0,7.0,7.0,0.0008,683.29,-0.6521739130434783,333.94607843137254,FALSE
Tokenomy,306.0,TEN,0.0505,6.37e-06,0.34,-0.39,8.59,-34.55,-34.84,-37.47,-68.17,-77.81,10.09,10.09,350.96,350.96,200.0,200000000.0,,61.15,73.0,75.0,35.0,38.0,83.0,25.0,100.0,,,561707.0,11.0,11.0,0.0284,5.68,-0.4376237623762376,-0.4370664023785927,FALSE
Experience Points,583.0,XP,9.93e-06,0.0,0.94,0.99,36.44,58.81,59.92,3.06,-24.75,-83.83,2.73,2.73,7.45,7.45,274.517,309319900100.0,,61.15,0.0,0.0,50.0,88.0,66.0,25.0,100.0,60.0,60.0,6720.0,29.0,29.0,1.73e-06,1.62,-0.8257804632426988,-0.40659340659340654,FALSE
Unibright,539.0,UBT,0.0243,3.07e-06,0.03,-0.2,15.32,91.93,15.29,13.39,-14.88,-28.6,3.43,3.43,699.69,699.69,140.984,150000000.0,,61.15,40.0,100.0,30.0,46.0,70.0,95.0,100.0,,,181744.0,9.0,9.0,0.0194,2.71,-0.20164609053497937,-0.20991253644314872,FALSE
Aurora DAO,561.0,AURA,0.0197,5.71e-06,-0.45,-3.78,-4.28,-1.95,-35.56,-28.71,-56.49,-86.14,3.01,3.01,8.66,8.66,152.73,1000000000.0,1000000000.0,61.1,83.0,100.0,80.0,78.0,66.0,75.0,100.0,0.0,0.0,17406.0,13.0,13.0,,,,,TRUE
Helium,975.0,HLM,0.0451,5.7e-06,0.0,-1.2,8.23,-52.92,-58.55,-52.51,-87.33,-87.33,458.83,458.83,0.0,0.0,10.165,10513862.0,,61.1,29.0,100.0,30.0,92.0,67.0,20.0,100.0,,,885.0,4.0,4.0,0.0136,161.56,-0.6984478935698448,-0.6478870169779657,FALSE
Celsius,1620.0,CEL,0.1149,1.45e-05,-1.3,-5.94,11.99,243.06,166.69,127.61,107.43,107.43,0.0,0.0,69.39,69.39,0.0,700000000.0,,61.1,70.0,50.0,55.0,86.0,39.0,95.0,100.0,,,3145.0,9.0,9.0,0.0774,0.0,-0.3263707571801567,1,FALSE
Bob's Repair,1121.0,BOB,0.003,3.7e-07,-0.77,-1.88,9.75,-15.33,-13.08,-55.18,-91.08,-83.65,231.62,231.62,308.34,308.34,78.286,360000000.0,,61.05,49.0,100.0,45.0,51.0,65.0,50.0,100.0,,,378689.0,7.0,7.0,0.001,177.73,-0.6666666666666666,-0.23266557292116402,FALSE
Wagerr,205.0,WGR,0.095,1.199e-05,-0.11,-2.76,-7.69,53.32,29.95,27.32,-23.23,-23.23,17.35,17.35,37.21,37.21,182.651,204030690.0,,61.0,63.0,25.0,50.0,68.0,40.0,95.0,100.0,80.0,80.0,12795.0,19.0,19.0,0.0407,7.58,-0.5715789473684211,-0.5631123919308357,FALSE
BitcoinZ,749.0,BTCZ,0.0003,4e-08,-0.9,8.2,47.89,26.53,4.79,-0.1,-33.23,-81.92,1.33,1.33,66.75,66.75,4.384,4383558412.0,21000000000.0,61.0,,,30.0,98.0,42.0,0.0,70.0,70.0,70.0,201434.0,16.0,16.0,0.0001,736.88,-0.6666666666666666,553.0451127819548,FALSE
carVertical,513.0,CV,0.0005,6e-08,0.15,14.2,12.76,70.6,34.86,33.3,-35.2,-67.1,3.83,3.83,22.68,22.68,7.714,9898432613.0,9904435614.0,60.95,45.0,100.0,50.0,53.0,70.0,5.0,100.0,,,6138.0,12.0,12.0,0.0002,1.4,-0.6000000000000001,-0.6344647519582246,FALSE
GoldMint,1049.0,MNTP,0.1755,2.216e-05,-2.71,7.03,34.7,-18.94,-24.8,-28.48,-43.12,-54.21,336.12,336.12,765.5,765.5,1.915,10000000.0,,60.95,63.0,100.0,45.0,53.0,62.0,50.0,100.0,,,1085.0,12.0,12.0,0.2076,397.53,0.182905982905983,0.18270260621206702,FALSE
AMO Coin,444.0,AMO,0.0006,7e-08,-0.04,-1.43,-13.13,-31.26,-55.32,-63.03,-73.59,-73.59,5.12,5.12,80.08,80.08,8.972,19679012762.0,,60.9,44.0,100.0,25.0,67.0,65.0,55.0,100.0,,,143659.0,5.0,5.0,0.0002,2.95,-0.6666666666666666,-0.423828125,FALSE
Restart Energy,368.0,MWAT,0.0159,2.01e-06,0.25,1.48,8.48,3.94,-0.83,8.17,-8.22,-28.47,7.21,7.21,29.1,29.1,452.75,500000000.0,500000000.0,60.8,45.0,100.0,35.0,48.0,75.0,5.0,100.0,,,30386.0,12.0,12.0,0.0099,4.5,-0.3773584905660377,-0.37586685159500693,FALSE
MediShares,259.0,MDS,0.0119,1.5e-06,1.86,-6.3,14.22,78.44,124.71,95.05,-25.67,-75.01,12.72,12.72,512.05,512.05,1.068,2000000000.0,,60.8,43.0,75.0,10.0,63.0,74.0,55.0,100.0,60.0,60.0,261501.0,14.0,14.0,0.0034,2.53,-0.7142857142857143,-0.8011006289308177,FALSE
Smartlands,187.0,SLT,3.88,0.00049039,-1.04,5.49,19.16,34.38,9.71,13.05,-31.82,79.74,19.81,19.81,144.94,144.94,5.101,7186785.0,,60.75,86.0,25.0,50.0,78.0,82.0,75.0,100.0,5.0,5.0,903220.0,12.0,12.0,0.3062,1.56,-0.9210824742268041,-0.9212518929833418,FALSE
Fluz Fluz,757.0,FLUZ,0.0063,7.9e-07,-0.25,-8.78,7.64,-32.11,-45.34,-15.4,6.17,-80.51,1.29,1.29,3.15,3.15,204.78,204780000.0,,60.75,46.0,100.0,0.0,88.0,64.0,5.0,100.0,,,116.0,11.0,11.0,,,,,TRUE
Viuly,1350.0,VIU,7.753e-05,1e-08,-0.14,1.14,-36.44,-48.3,-61.54,-72.27,-62.59,-96.21,59.84,59.84,102.49,102.49,771.906,1000000000.0,,60.75,29.0,100.0,35.0,88.0,58.0,0.0,100.0,,,284.0,15.0,15.0,7.16e-05,55.26,-0.07648652134657542,-0.0765374331550803,FALSE
Noah Coin,236.0,NOAH,0.0004,6e-08,-0.62,2.52,27.2,92.37,43.4,22.04,-25.86,-79.06,14.59,14.59,410.48,410.48,32.688,91584000000.0,,60.7,83.0,25.0,80.0,70.0,70.0,95.0,100.0,10.0,10.0,119187.0,11.0,11.0,0.0007,24.27,0.7499999999999999,0.6634681288553804,FALSE
Ink,457.0,INK,0.0102,1.29e-06,-1.26,-0.6,3.22,51.4,62.89,67.37,-41.85,-82.98,4.74,4.74,4.37,4.37,463.911,1000000000.0,1000000000.0,60.7,28.0,0.0,70.0,77.0,76.0,0.0,100.0,,,3014223.0,15.0,15.0,0.0025,1.17,-0.7549019607843137,-0.7531645569620253,FALSE
Lethean,914.0,LTHN,0.001,1.3e-07,-6.7,1.88,10.01,-7.4,-20.26,-16.58,-78.72,-59.87,664.1,664.1,1.89,1.89,646.511,716510791.0,999481516.0,60.7,86.0,50.0,10.0,98.0,39.0,20.0,100.0,80.0,80.0,11736.0,15.0,15.0,0.0002,168.84,-0.8,-0.7457611805450985,FALSE
Storjcoin X,1634.0,SJCX,0.1456,1.839e-05,20.04,-11.37,14.12,35.35,33.42,38.86,58.07,-76.48,0.0,0.0,203.72,203.72,0.0,500000000.0,,60.7,51.0,50.0,80.0,78.0,49.0,100.0,100.0,,,20.0,54.0,54.0,,,,,TRUE
Legolas Exchange,369.0,LGO,0.0551,6.96e-06,-22.59,-32.56,-11.55,35.0,53.12,20.68,-35.33,-75.3,7.21,7.21,8.28,8.28,130.853,217698062.0,,60.65,78.0,100.0,25.0,43.0,70.0,50.0,100.0,,,16739.0,11.0,11.0,,,,,TRUE
DxChain Token,281.0,DX,0.0003,4e-08,1.02,4.66,38.15,48.66,13.9,90.97,24.01,24.01,11.29,11.29,195.22,195.22,36.325,100000000000.0,,60.65,86.0,100.0,80.0,75.0,66.0,75.0,100.0,0.0,0.0,162630.0,6.0,6.0,0.0012,58.64,3.0,4.193976970770594,FALSE
PlayGame,785.0,PXG,0.0015,1.9e-07,16.86,-4.57,-4.2,-64.69,-64.38,-64.03,-64.03,,1.14,1.14,135.14,135.14,742.858,1000000000.0,,60.65,32.0,50.0,10.0,76.0,70.0,95.0,100.0,,,58585.0,2.0,2.0,0.0002,211.82,-0.8666666666666666,184.80701754385967,FALSE
Mintcoin,531.0,MINT,0.0001,2e-08,-8.48,-7.72,102.8,294.62,79.72,78.53,10.94,-3.75,3.56,3.56,283.98,283.98,24.947,24947260808.0,,60.65,,,50.0,90.0,37.0,5.0,100.0,70.0,70.0,136.0,60.0,60.0,7.486e-05,1.87,-0.25140000000000007,-0.4747191011235955,FALSE
OKCash,596.0,OK,0.0341,4.3e-06,-1.0,-0.16,100.58,73.55,57.7,81.09,6.57,-47.39,2.54,2.54,472.83,472.83,74.57,74570073.0,105000000.0,60.65,,,80.0,78.0,51.0,5.0,70.0,50.0,50.0,90506.0,50.0,50.0,0.0195,1.46,-0.42815249266862165,-0.4251968503937008,FALSE
REAL,799.0,REAL,0.1094,1.381e-05,0.0,3.74,60.81,-0.63,-12.94,-18.87,-33.68,-61.84,1.1,1.1,0.0,0.0,10.056,19717288.0,,60.65,32.0,50.0,60.0,80.0,62.0,55.0,70.0,,,447.0,16.0,16.0,0.0396,398.15,-0.6380255941499087,360.9545454545454,FALSE
Ryo Currency,925.0,RYO,0.0561,7.08e-06,0.32,-4.91,10.94,-1.86,-18.96,-25.4,-62.46,-62.46,636.2,636.2,1.33,1.33,11.337,11454452.0,88188888.0,60.65,,,10.0,96.0,39.0,20.0,100.0,80.0,80.0,1147.0,6.0,6.0,0.0279,448.18,-0.5026737967914437,-0.2955359949701352,FALSE
CoinFi,804.0,COFI,0.0056,7e-07,-2.98,-2.21,25.18,48.32,44.92,48.98,-50.05,-72.35,1.08,1.08,138.05,138.05,194.107,300000000.0,,60.6,65.0,100.0,60.0,62.0,67.0,0.0,100.0,,,19023.0,12.0,12.0,0.0016,315.07,-0.7142857142857143,290.73148148148147,FALSE
Mainframe,142.0,MFT,0.004,5e-07,0.04,-6.62,24.69,30.65,32.13,11.94,-58.07,-73.08,30.2,30.2,12.44,12.44,7.632,10000000000.0,,60.55,100.0,0.0,50.0,51.0,82.0,45.0,100.0,40.0,40.0,1651349.0,7.0,7.0,0.0012,10.22,-0.7000000000000001,-0.6615894039735098,FALSE
Bittwatt,547.0,BWT,0.0111,1.4e-06,-0.12,4.68,-6.39,17.6,96.19,31.02,-64.21,-68.44,3.32,3.32,12.37,12.37,300.419,338600000.0,,60.55,58.0,100.0,30.0,41.0,67.0,45.0,100.0,,,1270.0,8.0,8.0,0.0015,447.95,-0.8648648648648649,133.92469879518072,FALSE
